2004	07	22	IQ	TM	3	2	AC	CN	23	1524	1444	+4	−9	75	98
2004	07	26	UZ	TM	1	0	AC	CN	17	1584	1427	+4	−2	62	100
2004	09	08	TM	SA	0	1	WQ		-15	1412	1626	−1	+2	102	56
2004	10	09	LK	TM	2	2	WQ		15	984	1397	+1	−2	190	104
2004	11	17	ID	TM	3	1	WQ		31	1318	1366	+5	−8	126	112
2005	01	29	SA	TM	1	0	F		3	1580	1363	0	−1	68	112
2005	01	30	SA	TM	1	2	F		-17	1563	1380	0	+5	68	107
2005	08	03	BH	TM	5	0	F		6	1597	1374	+1	−1	61	107
2007	06	25	QA	TM	1	0	F		4	1508	1370	+1	−1	80	112
2007	08	22	LT	TM	2	1	F		4	1502	1366	+3	−1	79	114
2007	10	11	KH	TM	0	1	WQ		-3	802	1369	0	0	206	113
2007	10	28	TM	KH	4	1	WQ		1	1370	801	0	0	113	206
2007	11	10	HK	TM	0	0	WQ		3	1224	1367	0	0	151	113
2007	11	18	TM	HK	3	0	WQ		14	1381	1210	+3	−2	111	153
2008	02	06	KR	TM	4	0	WQ		8	1663	1373	0	−1	45	110
2008	03	26	TM	JO	0	2	WQ		-29	1344	1513	−6	+7	116	83
2008	05	18	OM	TM	2	1	F		4	1513	1340	+5	−2	82	118
2008	06	02	TM	KP	0	0	WQ		4	1344	1506	+1	0	117	84
2008	06	07	KP	TM	1	0	WQ		7	1513	1337	+1	−2	84	119
2008	06	14	TM	KR	1	3	WQ		-12	1325	1688	−2	+3	122	42
2008	06	22	JO	TM	2	0	WQ		11	1490	1314	+1	−2	90	126
2008	07	30	TJ	TM	0	0	SQC	IN	1	1298	1313	0	0	128	125
2008	08	01	TM	AF	5	0	SQC	IN	4	1317	815	0	0	125	206
2008	08	03	IN	TM	2	1	SQC		24	1178	1293	+6	−3	163	128
2008	10	03	TM	MM	2	1	HCM	VN	10	1303	1174	+2	−2	128	163
2008	10	05	VN	TM	2	3	HCM		-17	1237	1320	−2	+5	145	124
